channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
13,19,eulsef20120915c-01,AD29,1,1,p1,1,8,0,Euler,0.282321899736148,0.110817941952507,0.395778364116095,0.350923482849604,0.530386740331492,L3,Upper
14,19,eulsef20120915c-01,AD30,1,1,p1,1,9,0,Euler,0.258575197889182,0.0976253298153034,0.377308707124011,0.361477572559367,0.535911602209945,L5,Lower
15,19,eulsef20120915c-01,AD31,1,1,p1,1,10,0,Euler,0.200527704485488,0.0395778364116095,0.29023746701847,0.298153034300792,0.453038674033149,L5,Lower
16,19,eulsef20120915c-01,AD32,1,1,p1,1,11,0,Euler,0.184696569920844,0.0395778364116095,0.261213720316623,0.282321899736148,0.414364640883978,L5,Lower
17,19,eulsef20120915c-01,AD33,1,1,p1,1,12,0,Euler,0.118733509234828,0.0211081794195251,0.153034300791557,0.213720316622691,0.248618784530387,L5,Lower
18,19,eulsef20120915c-01,AD34,1,1,p1,1,13,0,Euler,0.168865435356201,0.0527704485488127,0.158311345646438,0.195250659630607,0.292817679558011,L6,Lower
19,19,eulsef20120915c-01,AD35,1,1,p1,1,14,0,Euler,0.113456464379947,0.050131926121372,0.129287598944591,0.16622691292876,0.25414364640884,L6,Lower
20,19,eulsef20120915c-01,AD36,1,1,p1,1,15,0,Euler,0.0659630606860158,0.0131926121372032,0.0606860158311346,0.0949868073878628,0.154696132596685,L6,Lower
21,19,eulsef20120915c-01,AD37,1,1,p1,1,16,0,Euler,0.0580474934036939,0.0158311345646438,0.0554089709762533,0.0923482849604222,0.121546961325967,L6,Lower
22,19,eulsef20120915c-01,AD38,1,1,p1,1,17,0,Euler,0.0527704485488127,0.00527704485488127,0.0448548812664908,0.0738786279683377,0.132596685082873,L6,Lower
13,20,xensef20120420a-01,AD29,1,2,p2,1,1,1,Xena,0.0264900662251656,0.0132450331125828,0.0286975717439294,0.0176600441501104,0.0235690235690236,L2,Upper
14,20,xensef20120420a-01,AD30,1,2,p2,1,2,1,Xena,0.141280353200883,0.0993377483443709,0.136865342163355,0.114790286975717,0.164983164983165,L2,Upper
15,20,xensef20120420a-01,AD31,1,2,p2,1,3,1,Xena,0.185430463576159,0.112582781456954,0.143487858719647,0.0971302428256071,0.205387205387205,L2,Upper
16,20,xensef20120420a-01,AD32,1,2,p2,1,4,1,Xena,0.2560706401766,0.209713024282561,0.229580573951435,0.205298013245033,0.377104377104377,L2,Upper
17,20,xensef20120420a-01,AD33,1,2,p2,1,5,1,Xena,0.298013245033113,0.207505518763797,0.242825607064018,0.240618101545254,0.390572390572391,L3,Upper
18,20,xensef20120420a-01,AD34,1,2,p2,1,6,1,Xena,0.216335540838852,0.108167770419426,0.112582781456954,0.158940397350993,0.191919191919192,L3,Upper
19,20,xensef20120420a-01,AD35,1,2,p2,1,7,1,Xena,0.23841059602649,0.114790286975717,0.125827814569536,0.169977924944812,0.215488215488215,L3,Upper
20,20,xensef20120420a-01,AD36,1,2,p2,1,8,1,Xena,0.233995584988962,0.125827814569536,0.150110375275938,0.194260485651214,0.232323232323232,L3,Upper
21,20,xensef20120420a-01,AD37,1,2,p2,1,9,1,Xena,0.205298013245033,0.123620309050773,0.116997792494481,0.145695364238411,0.235690235690236,L5,Lower
22,20,xensef20120420a-01,AD38,1,2,p2,1,10,1,Xena,0.178807947019868,0.108167770419426,0.112582781456954,0.145695364238411,0.222222222222222,L5,Lower
23,20,xensef20120420a-01,AD39,1,2,p2,1,11,1,Xena,0.147902869757174,0.114790286975717,0.0838852097130243,0.139072847682119,0.198653198653199,L5,Lower
24,20,xensef20120420a-01,AD40,1,2,p2,1,12,1,Xena,0.145695364238411,0.101545253863135,0.0662251655629139,0.121412803532009,0.141414141414141,L5,Lower
6,21,xensef20120423b-final,AD22,1,2,p2,1,1,1,Xena,0,0,0,0,0,L2,Upper
7,21,xensef20120423b-final,AD23,1,2,p2,1,2,1,Xena,0.0136612021857923,0.0109289617486339,0.0109289617486339,0.00546448087431694,0.01,L2,Upper
8,21,xensef20120423b-final,AD24,1,2,p2,1,3,1,Xena,0.101092896174863,0.0628415300546448,0.092896174863388,0.0792349726775956,0.12,L2,Upper
9,21,xensef20120423b-final,AD25,1,2,p2,1,4,1,Xena,0.245901639344262,0.191256830601093,0.224043715846995,0.245901639344262,0.305,L2,Upper
10,21,xensef20120423b-final,AD26,1,2,p2,1,5,1,Xena,0.292349726775956,0.191256830601093,0.259562841530055,0.243169398907104,0.37,L3,Upper
11,21,xensef20120423b-final,AD27,1,2,p2,1,6,1,Xena,0.371584699453552,0.210382513661202,0.259562841530055,0.286885245901639,0.45,L3,Upper
12,21,xensef20120423b-final,AD28,1,2,p2,1,7,1,Xena,0.33879781420765,0.204918032786885,0.314207650273224,0.300546448087432,0.385,L3,Upper
13,21,xensef20120423b-final,AD29,1,2,p2,1,8,1,Xena,0.371584699453552,0.262295081967213,0.300546448087432,0.30327868852459,0.435,L3,Upper
14,21,xensef20120423b-final,AD30,1,2,p2,1,9,1,Xena,0.292349726775956,0.153005464480874,0.218579234972678,0.245901639344262,0.335,L5,Lower
15,21,xensef20120423b-final,AD31,1,2,p2,1,10,1,Xena,0.289617486338798,0.169398907103825,0.158469945355191,0.226775956284153,0.355,L5,Lower
16,21,xensef20120423b-final,AD32,1,2,p2,1,11,1,Xena,0.281420765027322,0.150273224043716,0.172131147540984,0.191256830601093,0.33,L5,Lower
17,21,xensef20120423b-final,AD33,1,2,p2,1,12,1,Xena,0.215846994535519,0.133879781420765,0.147540983606557,0.12568306010929,0.28,L5,Lower
18,21,xensef20120423b-final,AD34,1,2,p2,1,13,1,Xena,0.112021857923497,0.0683060109289618,0.0819672131147541,0.0792349726775956,0.16,L6,Lower
19,21,xensef20120423b-final,AD35,1,2,p2,1,14,1,Xena,0.103825136612022,0.0710382513661202,0.0737704918032787,0.092896174863388,0.185,L6,Lower
20,21,xensef20120423b-final,AD36,1,2,p2,1,15,1,Xena,0.0901639344262295,0.0792349726775956,0.0765027322404372,0.0683060109289618,0.17,L6,Lower
21,21,xensef20120423b-final,AD37,1,2,p2,1,16,1,Xena,0.0655737704918033,0.0628415300546448,0.0765027322404372,0.0519125683060109,0.12,L6,Lower
22,21,xensef20120423b-final,AD38,1,2,p2,1,17,1,Xena,0.0546448087431694,0.0519125683060109,0.046448087431694,0.0546448087431694,0.115,L6,Lower
8,22,xensef20120424c-final,AD24,1,2,p2,1,1,1,Xena,0,0,0,0,0,L2,Upper
9,22,xensef20120424c-final,AD25,1,2,p2,1,2,1,Xena,0.0136674259681093,0.0113895216400911,0.00911161731207289,0.00683371298405467,0.00892857142857143,L2,Upper
10,22,xensef20120424c-final,AD26,1,2,p2,1,3,1,Xena,0.0364464692482916,0.0250569476082005,0.0455580865603645,0.020501138952164,0.0848214285714286,L2,Upper
11,22,xensef20120424c-final,AD27,1,2,p2,1,4,1,Xena,0.184510250569476,0.120728929384966,0.150341685649203,0.161731207289294,0.267857142857143,L2,Upper
12,22,xensef20120424c-final,AD28,1,2,p2,1,5,1,Xena,0.230068337129841,0.14123006833713,0.191343963553531,0.239179954441913,0.330357142857143,L3,Upper
13,22,xensef20120424c-final,AD29,1,2,p2,1,6,1,Xena,0.250569476082005,0.120728929384966,0.177676537585421,0.230068337129841,0.330357142857143,L3,Upper
14,22,xensef20120424c-final,AD30,1,2,p2,1,7,1,Xena,0.214123006833713,0.120728929384966,0.157175398633257,0.186788154897494,0.236607142857143,L3,Upper
15,22,xensef20120424c-final,AD31,1,2,p2,1,8,1,Xena,0.296127562642369,0.177676537585421,0.248291571753986,0.248291571753986,0.330357142857143,L3,Upper
16,22,xensef20120424c-final,AD32,1,2,p2,1,9,1,Xena,0.328018223234624,0.211845102505695,0.255125284738041,0.291571753986333,0.419642857142857,L5,Lower
17,22,xensef20120424c-final,AD33,1,2,p2,1,10,1,Xena,0.321184510250569,0.182232346241458,0.214123006833713,0.257403189066059,0.366071428571429,L5,Lower
18,22,xensef20120424c-final,AD34,1,2,p2,1,11,1,Xena,0.220956719817768,0.123006833712984,0.109339407744875,0.168564920273349,0.267857142857143,L5,Lower
19,22,xensef20120424c-final,AD35,1,2,p2,1,12,1,Xena,0.24373576309795,0.111617312072893,0.148063781321185,0.17995444191344,0.258928571428571,L5,Lower
20,22,xensef20120424c-final,AD36,1,2,p2,1,13,1,Xena,0.198177676537585,0.113895216400911,0.152619589977221,0.14123006833713,0.321428571428571,L6,Lower
21,22,xensef20120424c-final,AD37,1,2,p2,1,14,1,Xena,0.182232346241458,0.10250569476082,0.118451025056948,0.118451025056948,0.25,L6,Lower
22,22,xensef20120424c-final,AD38,1,2,p2,1,15,1,Xena,0.16628701594533,0.0933940774487472,0.118451025056948,0.107061503416856,0.263392857142857,L6,Lower
23,22,xensef20120424c-final,AD39,1,2,p2,1,16,1,Xena,0.17995444191344,0.0842824601366743,0.120728929384966,0.125284738041002,0.245535714285714,L6,Lower
24,22,xensef20120424c-final,AD40,1,2,p2,1,17,1,Xena,0.14123006833713,0.0706150341685649,0.0956719817767654,0.0911161731207289,0.241071428571429,L6,Lower
12,23,xensef20120425c-final,AD28,1,2,p2,1,1,1,Xena,0.010443864229765,0.00522193211488251,0.00783289817232376,0.00522193211488251,0.00561797752808989,L2,Upper
13,23,xensef20120425c-final,AD29,1,2,p2,1,2,1,Xena,0.0731070496083551,0.0287206266318538,0.0757180156657963,0.0339425587467363,0.146067415730337,L2,Upper
14,23,xensef20120425c-final,AD30,1,2,p2,1,3,1,Xena,0.130548302872063,0.0548302872062663,0.143603133159269,0.101827676240209,0.179775280898876,L2,Upper
15,23,xensef20120425c-final,AD31,1,2,p2,1,4,1,Xena,0.164490861618799,0.10443864229765,0.159268929503916,0.135770234986945,0.219101123595506,L2,Upper
16,23,xensef20120425c-final,AD32,1,2,p2,1,5,1,Xena,0.216710182767624,0.120104438642298,0.180156657963446,0.177545691906005,0.230337078651685,L3,Upper
17,23,xensef20120425c-final,AD33,1,2,p2,1,6,1,Xena,0.255874673629243,0.169712793733681,0.185378590078329,0.174934725848564,0.264044943820225,L3,Upper
18,23,xensef20120425c-final,AD34,1,2,p2,1,7,1,Xena,0.198433420365535,0.151436031331593,0.159268929503916,0.135770234986945,0.219101123595506,L3,Upper
19,23,xensef20120425c-final,AD35,1,2,p2,1,8,1,Xena,0.263707571801567,0.156657963446475,0.156657963446475,0.18798955613577,0.235955056179775,L3,Upper
20,23,xensef20120425c-final,AD36,1,2,p2,1,9,1,Xena,0.344647519582245,0.169712793733681,0.190600522193211,0.263707571801567,0.297752808988764,L5,Lower
21,23,xensef20120425c-final,AD37,1,2,p2,1,10,1,Xena,0.318537859007833,0.174934725848564,0.16710182767624,0.219321148825065,0.325842696629214,L5,Lower
22,23,xensef20120425c-final,AD38,1,2,p2,1,11,1,Xena,0.248041775456919,0.156657963446475,0.161879895561358,0.156657963446475,0.264044943820225,L5,Lower
23,23,xensef20120425c-final,AD39,1,2,p2,1,12,1,Xena,0.221932114882507,0.127937336814621,0.156657963446475,0.148825065274151,0.213483146067416,L5,Lower
24,23,xensef20120425c-final,AD40,1,2,p2,1,13,1,Xena,0.180156657963446,0.127937336814621,0.135770234986945,0.135770234986945,0.219101123595506,L6,Lower
12,24,xensef20120426c-01,AD28,1,2,p2,1,1,1,Xena,0,0,0,0,0.00429184549356223,L2,Upper
13,24,xensef20120426c-01,AD29,1,2,p2,1,2,1,Xena,0,0.00542005420054201,0.00542005420054201,0,0.0128755364806867,L2,Upper
14,24,xensef20120426c-01,AD30,1,2,p2,1,3,1,Xena,0.024390243902439,0.032520325203252,0.037940379403794,0.021680216802168,0.0429184549356223,L2,Upper
