channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixation_power_canceled,fixation_power_nostop,stopSignal_power_canceled,stopSignal_power_nostop,ssrt_power_canceled,ssrt_power_nostop,laminar,upper_lower
22,18,eulsef20120914c-01,AD38,1,1,p1,1,11,0,Euler,0.289257128716617,0.160324720250795,0.186340646936855,1.43823676305133,0.442010958366816,0.233971872743593,L5,Lower
23,18,eulsef20120914c-01,AD39,1,1,p1,1,12,0,Euler,0.105906214891923,0.525717131404809,0.407966405150497,0.563613356744016,0.345340758454158,0.189599994796155,L5,Lower
24,18,eulsef20120914c-01,AD40,1,1,p1,1,13,0,Euler,0.147831804032762,0.564382813918799,0.631245069017917,0.590602129903062,0.328629701825844,0.0888742308713299,L6,Lower
6,19,eulsef20120915c-01,AD22,1,1,p1,1,1,0,Euler,0.157247087045337,0.445654533329395,0.0360683133927687,0.370246216316759,0.433139434862643,0.287709500419476,L2,Upper
7,19,eulsef20120915c-01,AD23,1,1,p1,1,2,0,Euler,0.285737291986123,0.161433678013338,0.0940705693262674,0.876210097398026,0.643191120479195,0.389962250927393,L2,Upper
8,19,eulsef20120915c-01,AD24,1,1,p1,1,3,0,Euler,0.261163878505117,0.0608238000896479,0.0679595372945259,0.614830564840889,0.468255371010112,0.533899514353994,L2,Upper
9,19,eulsef20120915c-01,AD25,1,1,p1,1,4,0,Euler,0.275406138644479,0.0695472843100628,0.055240060862949,0.486250388282435,0.492255215848235,0.199158117518297,L2,Upper
10,19,eulsef20120915c-01,AD26,1,1,p1,1,5,0,Euler,0.245933005625967,0.149697452627633,0.046933233367327,0.40418062382304,0.233663541496376,0.218753330370849,L3,Upper
11,19,eulsef20120915c-01,AD27,1,1,p1,1,6,0,Euler,0.212556311826655,0.342676977300705,0.107681695145802,0.342357189002318,0.061463072075424,0.313116380178425,L3,Upper
12,19,eulsef20120915c-01,AD28,1,1,p1,1,7,0,Euler,0.131458266284266,0.195489487929131,0.145322165112646,0.110018563662083,0.155989092540685,0.236531304079708,L3,Upper
